time,cpu_total_pct,cores_of_work,cores_busy,ram_used_mb,ram_pct,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
10:39:52,799,7.99,8,8501,27,100,100,100,100,100,100,100,100
10:39:54,799,7.99,8,8500,27,100,99,100,100,100,100,100,100
10:39:56,798,7.98,8,8512,27,100,100,100,100,100,100,100,100
10:39:58,799,7.99,8,8520,27,100,100,100,100,100,100,100,100
10:40:00,798,7.98,8,8519,27,100,100,100,100,100,100,100,100
10:40:02,799,7.99,8,8508,27,100,100,100,99,100,100,100,100
10:40:04,798,7.98,8,8517,27,100,100,100,100,100,100,100,100
10:40:06,798,7.99,8,8507,27,100,100,100,100,100,100,100,100
10:40:08,799,7.99,8,8513,27,100,100,100,100,100,100,100,100
10:40:10,799,7.99,8,8516,27,100,100,100,100,100,100,100,100
10:40:12,797,7.97,8,8510,27,100,100,100,100,99,100,100,100
10:40:14,798,7.98,8,8505,27,100,100,100,100,100,99,100,100
10:40:16,798,7.98,8,8525,27,100,100,100,100,99,99,100,100
10:40:18,800,8.00,8,8526,27,100,100,100,100,100,100,100,100
10:40:20,798,7.98,8,8527,27,100,100,100,100,100,100,100,100
10:40:22,798,7.98,8,8525,27,99,99,100,100,100,100,100,100
10:40:24,800,8.00,8,8530,27,100,100,100,100,100,100,100,100
10:40:26,797,7.97,8,8514,27,100,99,100,100,100,100,100,99
10:40:28,799,7.99,8,8508,27,100,100,100,100,100,100,100,100
10:40:30,797,7.97,8,8512,27,100,100,100,100,99,100,99,100
10:40:32,799,7.99,8,8510,27,100,100,100,100,100,99,100,100
10:40:34,800,8.00,8,8522,27,100,100,100,100,100,100,100,100
10:40:36,798,7.98,8,8502,27,100,100,100,100,100,100,100,100
10:40:38,798,7.98,8,8517,27,100,100,100,100,100,100,99,100
10:40:40,798,7.98,8,8524,27,100,100,99,100,100,100,100,100
10:40:42,798,7.98,8,8503,27,100,100,100,100,100,99,100,100
10:40:44,798,7.98,8,8513,27,100,100,100,100,100,100,100,100
10:40:46,800,8.00,8,8521,27,100,100,100,100,100,100,100,100
10:40:48,798,7.98,8,8500,27,100,100,100,100,99,100,100,100
10:40:50,797,7.97,8,8511,27,100,100,99,100,100,100,100,100
10:40:52,800,8.00,8,8506,27,100,100,100,100,100,100,100,100
10:40:54,797,7.97,8,8511,27,100,100,100,100,100,100,99,100
10:40:56,799,7.99,8,8512,27,100,100,100,100,100,100,100,100
10:40:58,798,7.98,8,8502,27,100,100,100,100,100,100,100,100
10:41:00,799,7.99,8,8513,27,100,100,100,100,100,100,100,100
10:41:02,800,8.00,8,8498,27,100,100,100,100,100,100,100,100
10:41:04,798,7.98,8,8519,27,100,100,100,100,100,100,100,100
10:41:06,797,7.97,8,8525,27,100,100,100,100,100,100,100,99
10:41:08,799,7.99,8,8518,27,99,100,100,100,100,100,100,100
10:41:10,799,7.99,8,8509,27,100,100,100,100,100,100,100,99
10:41:12,798,7.98,8,8510,27,100,100,100,100,100,100,100,100
10:41:14,800,8.00,8,8520,27,100,100,100,100,100,100,100,100
10:41:16,798,7.98,8,8500,27,100,100,100,100,100,100,100,100
10:41:18,799,7.99,8,8513,27,100,100,100,100,100,100,100,100
10:41:20,797,7.97,8,8695,28,100,100,99,100,100,100,100,99
10:41:22,798,7.98,8,8515,27,100,100,100,100,100,100,100,100
10:41:24,799,7.99,8,8510,27,100,100,100,100,100,100,100,100
10:41:27,800,8.00,8,8520,27,100,100,100,100,100,100,100,100
10:41:29,799,7.99,8,8504,27,100,100,100,100,100,100,100,100
10:41:31,797,7.97,8,8508,27,100,100,100,100,100,100,100,100
10:41:33,799,7.99,8,8507,27,100,100,100,100,100,100,100,100
10:41:35,797,7.97,8,8512,27,100,100,100,99,100,100,100,100
10:41:37,800,8.00,8,8512,27,100,100,100,100,100,100,100,100
10:41:39,797,7.97,8,8506,27,100,100,100,100,100,99,100,100
10:41:41,799,7.99,8,8506,27,100,100,100,100,100,100,100,100
10:41:43,798,7.98,8,8511,27,100,99,100,100,100,99,100,100
10:41:45,797,7.97,8,8513,27,100,100,100,100,99,99,100,100
